Stationsname,county,Statiosname_long,lat,long,date,wbi,type
Freudenberg-Boxtal/Main,Baden-Württemberg,"Freudenberg-Boxtal/Main, Baden-Württemberg",49.764186,9.4031448,2022-07-13,5,measured
Buchen (Kreis Neckar-Odenwald),Baden-Württemberg,"Buchen (Kreis Neckar-Odenwald), Baden-Württemberg",49.5241354,9.3250344,2022-07-13,4,measured
Mannheim,Baden-Württemberg,"Mannheim, Baden-Württemberg",49.4874592,8.4660395,2022-07-13,5,measured
Bad Mergentheim-Neunkirchen,Baden-Württemberg,"Bad Mergentheim-Neunkirchen, Baden-Württemberg",49.474782,9.7706769,2022-07-13,5,measured
Niederstetten,Baden-Württemberg,"Niederstetten, Baden-Württemberg",49.3994656,9.9194444,2022-07-13,4,measured
Ingelfingen-Stachenhausen,Baden-Württemberg,"Ingelfingen-Stachenhausen, Baden-Württemberg",49.335386,9.700694,2022-07-13,4,measured
Waibstadt,Baden-Württemberg,"Waibstadt, Baden-Württemberg",49.30042,8.9197318,2022-07-13,4,measured
Waghäusel-Kirrlach,Baden-Württemberg,"Waghäusel-Kirrlach, Baden-Württemberg",49.2430481,8.5462017,2022-07-13,5,measured
Öhringen,Baden-Württemberg,"Öhringen, Baden-Württemberg",49.199931,9.5029492,2022-07-13,4,measured
Kirchberg-Herboldshausen/Jagst,Baden-Württemberg,"Kirchberg-Herboldshausen/Jagst, Baden-Württemberg",49.17791,9.976557,2022-07-13,4,measured
Eppingen-Elsenz,Baden-Württemberg,"Eppingen-Elsenz, Baden-Württemberg",49.175512,8.831732,2022-07-13,4,measured
Obersulm-Willsbach,Baden-Württemberg,"Obersulm-Willsbach, Baden-Württemberg",49.1346278,9.3570644,2022-07-13,3,measured
Großerlach-Mannenweiler,Baden-Württemberg,"Großerlach-Mannenweiler, Baden-Württemberg",49.0216948,9.6020549,2022-07-13,4,measured
Ellwangen-Rindelbach,Baden-Württemberg,"Ellwangen-Rindelbach, Baden-Württemberg",48.9879138,10.127076,2022-07-13,4,measured
Rheinstetten,Baden-Württemberg,"Rheinstetten, Baden-Württemberg",48.9618109,8.292246,2022-07-13,5,measured
Mühlacker,Baden-Württemberg,"Mühlacker, Baden-Württemberg",48.948938,8.8524245,2022-07-13,5,measured
Sachsenheim,Baden-Württemberg,"Sachsenheim, Baden-Württemberg",48.9603579,9.0643208,2022-07-13,4,measured
Pforzheim-Ispringen,Baden-Württemberg,"Pforzheim-Ispringen, Baden-Württemberg",48.9189539,8.6687552,2022-07-13,3,measured
Kaisersbach-Cronhütte,Baden-Württemberg,"Kaisersbach-Cronhütte, Baden-Württemberg",48.9150639,9.6864635,2022-07-13,4,measured
Stuttgart (Schnarrenberg),Baden-Württemberg,"Stuttgart (Schnarrenberg), Baden-Württemberg",48.828889,9.204167,2022-07-13,4,measured
Schwäbisch Gmünd-Weiler,Baden-Württemberg,"Schwäbisch Gmünd-Weiler, Baden-Württemberg",48.7994019,9.8045704,2022-07-13,4,measured
Renningen,Baden-Württemberg,"Renningen, Baden-Württemberg",48.7716629,8.9343957,2022-07-13,4,measured
Baden-Baden-Geroldsau,Baden-Württemberg,"Baden-Baden-Geroldsau, Baden-Württemberg",48.7296066,8.2502357,2022-07-13,4,measured
Stuttgart (Flughafen),Baden-Württemberg,"Stuttgart (Flughafen), Baden-Württemberg",48.687636500000004,9.205576,2022-07-13,4,measured
Rheinau-Memprechtshofen,Baden-Württemberg,"Rheinau-Memprechtshofen, Baden-Württemberg",48.6809584,7.9873153,2022-07-13,4,measured
Notzingen,Baden-Württemberg,"Notzingen, Baden-Württemberg",48.6707442,9.4572846,2022-07-13,4,measured
Stötten,Baden-Württemberg,"Stötten, Baden-Württemberg",48.653402,9.861927,2022-07-13,4,measured
Neubulach-Oberhaugstett,Baden-Württemberg,"Neubulach-Oberhaugstett, Baden-Württemberg",48.65491,8.6797324,2022-07-13,4,measured
Hermaringen-Allewind,Baden-Württemberg,"Hermaringen-Allewind, Baden-Württemberg",48.5952246,10.2572841,2022-07-13,4,measured
Metzingen,Baden-Württemberg,"Metzingen, Baden-Württemberg",48.5398997,9.2864061,2022-07-13,4,measured
Merklingen,Baden-Württemberg,"Merklingen, Baden-Württemberg",48.5103542,9.7553839,2022-07-13,4,measured
Freudenstadt,Baden-Württemberg,"Freudenstadt, Baden-Württemberg",48.4644796,8.4179988,2022-07-13,4,measured
Ulm-Mähringen,Baden-Württemberg,"Ulm-Mähringen, Baden-Württemberg",48.4364249,9.937384,2022-07-13,4,measured
Ohlsbach,Baden-Württemberg,"Ohlsbach, Baden-Württemberg",48.4315241,7.9936967,2022-07-13,4,measured
Münsingen-Apfelstetten,Baden-Württemberg,"Münsingen-Apfelstetten, Baden-Württemberg",48.374567,9.487943,2022-07-13,4,measured
Hechingen,Baden-Württemberg,"Hechingen, Baden-Württemberg",48.3538888,8.9613627,2022-07-13,4,measured
Lahr,Baden-Württemberg,"Lahr, Baden-Württemberg",48.33915,7.8781487,2022-07-13,4,measured
Wolfach,Baden-Württemberg,"Wolfach, Baden-Württemberg",48.2923644,8.2149156,2022-07-13,4,measured
Balingen-Bronnhaupten,Baden-Württemberg,"Balingen-Bronnhaupten, Baden-Württemberg",48.2498545,8.8167801,2022-07-13,4,measured
Laupheim,Baden-Württemberg,"Laupheim, Baden-Württemberg",48.2303503,9.8829174,2022-07-13,4,measured
Elzach-Fisnacht,Baden-Württemberg,"Elzach-Fisnacht, Baden-Württemberg",48.1718384,8.0718039,2022-07-13,4,measured
Rottweil,Baden-Württemberg,"Rottweil, Baden-Württemberg",48.1652577,8.628453,2022-07-13,4,measured
Meßstetten-Appental,Baden-Württemberg,"Meßstetten-Appental, Baden-Württemberg",48.1808093,8.9629934,2022-07-13,3,measured
Altheim (Kreis Biberach),Baden-Württemberg,"Altheim (Kreis Biberach), Baden-Württemberg",48.1435986,9.4498522,2022-07-13,4,measured
Emmendingen-Mundingen,Baden-Württemberg,"Emmendingen-Mundingen, Baden-Württemberg",48.1351284,7.8330412,2022-07-13,4,measured
Klippeneck,Baden-Württemberg,"Klippeneck, Baden-Württemberg",48.105,8.755833,2022-07-13,3,measured
Sigmaringen-Laiz,Baden-Württemberg,"Sigmaringen-Laiz, Baden-Württemberg",48.080532,9.19778,2022-07-13,4,measured
Villingen-Schwenningen,Baden-Württemberg,"Villingen-Schwenningen, Baden-Württemberg",48.0594021,8.4640869,2022-07-13,4,measured
Freiburg,Baden-Württemberg,"Freiburg, Baden-Württemberg",47.9990077,7.8421043,2022-07-13,4,measured
Buchenbach,Baden-Württemberg,"Buchenbach, Baden-Württemberg",47.9609204,8.0094386,2022-07-13,4,measured
Pfullendorf,Baden-Württemberg,"Pfullendorf, Baden-Württemberg",47.925227,9.2486506,2022-07-13,4,measured
Geisingen,Baden-Württemberg,"Geisingen, Baden-Württemberg",47.9230362,8.6489943,2022-07-13,3,measured
Lenzkirch-Ruhbühl,Baden-Württemberg,"Lenzkirch-Ruhbühl, Baden-Württemberg",47.8586033,8.2285542,2022-07-13,4,measured
Müllheim,Baden-Württemberg,"Müllheim, Baden-Württemberg",47.8091623,7.6180353,2022-07-13,4,measured
Weingarten (Kreis Ravensburg),Baden-Württemberg,"Weingarten (Kreis Ravensburg), Baden-Württemberg",47.8096019,9.6379832,2022-07-13,4,measured
Leutkirch-Herlazhofen,Baden-Württemberg,"Leutkirch-Herlazhofen, Baden-Württemberg",47.7926397,10.0132829,2022-07-13,3,measured
Singen,Baden-Württemberg,"Singen, Baden-Württemberg",47.7670971,8.8722387,2022-07-13,4,measured
Dachsberg-Wolpadingen,Baden-Württemberg,"Dachsberg-Wolpadingen, Baden-Württemberg",47.7000267,8.1069824,2022-07-13,4,measured
Konstanz,Baden-Württemberg,"Konstanz, Baden-Württemberg",47.6779808,9.1736741,2022-07-13,4,measured
Friedrichshafen-Unterraderach,Baden-Württemberg,"Friedrichshafen-Unterraderach, Baden-Württemberg",47.6848801,9.4448123,2022-07-13,4,measured
Wutöschingen-Ofteringen,Baden-Württemberg,"Wutöschingen-Ofteringen, Baden-Württemberg",47.6776812,8.3788135,2022-07-13,4,measured
Rheinfelden,Baden-Württemberg,"Rheinfelden, Baden-Württemberg",47.5896468,7.768779,2022-07-13,4,measured
Freudenberg-Boxtal/Main,Baden-Württemberg,"Freudenberg-Boxtal/Main, Baden-Württemberg",49.764186,9.4031448,2022-07-14,4,predicted
Buchen (Kreis Neckar-Odenwald),Baden-Württemberg,"Buchen (Kreis Neckar-Odenwald), Baden-Württemberg",49.5241354,9.3250344,2022-07-14,4,predicted
Mannheim,Baden-Württemberg,"Mannheim, Baden-Württemberg",49.4874592,8.4660395,2022-07-14,5,predicted
Bad Mergentheim-Neunkirchen,Baden-Württemberg,"Bad Mergentheim-Neunkirchen, Baden-Württemberg",49.474782,9.7706769,2022-07-14,4,predicted
Niederstetten,Baden-Württemberg,"Niederstetten, Baden-Württemberg",49.3994656,9.9194444,2022-07-14,4,predicted
Ingelfingen-Stachenhausen,Baden-Württemberg,"Ingelfingen-Stachenhausen, Baden-Württemberg",49.335386,9.700694,2022-07-14,4,predicted
Waibstadt,Baden-Württemberg,"Waibstadt, Baden-Württemberg",49.30042,8.9197318,2022-07-14,4,predicted
Waghäusel-Kirrlach,Baden-Württemberg,"Waghäusel-Kirrlach, Baden-Württemberg",49.2430481,8.5462017,2022-07-14,5,predicted
Öhringen,Baden-Württemberg,"Öhringen, Baden-Württemberg",49.199931,9.5029492,2022-07-14,5,predicted
Kirchberg-Herboldshausen/Jagst,Baden-Württemberg,"Kirchberg-Herboldshausen/Jagst, Baden-Württemberg",49.17791,9.976557,2022-07-14,5,predicted
Eppingen-Elsenz,Baden-Württemberg,"Eppingen-Elsenz, Baden-Württemberg",49.175512,8.831732,2022-07-14,4,predicted
Obersulm-Willsbach,Baden-Württemberg,"Obersulm-Willsbach, Baden-Württemberg",49.1346278,9.3570644,2022-07-14,4,predicted
Großerlach-Mannenweiler,Baden-Württemberg,"Großerlach-Mannenweiler, Baden-Württemberg",49.0216948,9.6020549,2022-07-14,4,predicted
Ellwangen-Rindelbach,Baden-Württemberg,"Ellwangen-Rindelbach, Baden-Württemberg",48.9879138,10.127076,2022-07-14,5,predicted
Rheinstetten,Baden-Württemberg,"Rheinstetten, Baden-Württemberg",48.9618109,8.292246,2022-07-14,5,predicted
Mühlacker,Baden-Württemberg,"Mühlacker, Baden-Württemberg",48.948938,8.8524245,2022-07-14,5,predicted
Sachsenheim,Baden-Württemberg,"Sachsenheim, Baden-Württemberg",48.9603579,9.0643208,2022-07-14,4,predicted
Pforzheim-Ispringen,Baden-Württemberg,"Pforzheim-Ispringen, Baden-Württemberg",48.9189539,8.6687552,2022-07-14,3,predicted
Kaisersbach-Cronhütte,Baden-Württemberg,"Kaisersbach-Cronhütte, Baden-Württemberg",48.9150639,9.6864635,2022-07-14,4,predicted
Stuttgart (Schnarrenberg),Baden-Württemberg,"Stuttgart (Schnarrenberg), Baden-Württemberg",48.828889,9.204167,2022-07-14,4,predicted
Schwäbisch Gmünd-Weiler,Baden-Württemberg,"Schwäbisch Gmünd-Weiler, Baden-Württemberg",48.7994019,9.8045704,2022-07-14,5,predicted
Renningen,Baden-Württemberg,"Renningen, Baden-Württemberg",48.7716629,8.9343957,2022-07-14,4,predicted
Baden-Baden-Geroldsau,Baden-Württemberg,"Baden-Baden-Geroldsau, Baden-Württemberg",48.7296066,8.2502357,2022-07-14,5,predicted
